0	SE	08-JUN-24
1	A01	SE0	SWEDEN	TCT	Travel Companion Tablet	Swedish Krona	200	2000	Day	AutoConfirm	
1	A01	SE0	SWEDEN	CSS	Child Seat	Swedish Krona	125	500	Day	AutoConfirm	
1	A01	SE0	SWEDEN	CIS	Infant Seat	Swedish Krona	125	500	Day	AutoConfirm	
1	A01	SE0	SWEDEN	WFI	Mobile Wi-Fi	Swedish Krona	125	1250	Day	AutoConfirm	
1	A01	SE0	SWEDEN	TEF	Travel Europe Fee	Swedish Krona	300	6000	Day	AutoConfirm	
1	A01	SE0	SWEDEN	CBS	Child Booster Seat	Swedish Krona	125	500	Day	AutoConfirm	
1	A01	SE0	SWEDEN	ADR	Additional Driver 	Swedish Krona	40	400	Day	AutoConfirm	
1	A06	ZA0	SOUTH AFRICA: SOUTH AFRICA (AL	CSS	Child Seat	Rand	550	0	Rental	AutoConfirm	
1	A06	ZA0	SOUTH AFRICA: SOUTH AFRICA (AL	WFI	Mobile Wi-Fi	Rand	135	0	Day	AutoConfirm	
1	A06	ZA0	SOUTH AFRICA: SOUTH AFRICA (AL	BYC	Bicycle Rack	Rand	150	3150	Day	AutoConfirm	
1	A06	ZA0	SOUTH AFRICA: SOUTH AFRICA (AL	NAV	GPS	Rand	140	0	Day	AutoConfirm	
1	A06	ZA0	SOUTH AFRICA: SOUTH AFRICA (AL	CIS	Infant Seat	Rand	550	0	Rental	AutoConfirm	
1	A06	ZA0	SOUTH AFRICA: SOUTH AFRICA (AL	IXB	Dual Baby Seat	Rand	700	0	Rental	AutoConfirm	
1	A06	ZA0	SOUTH AFRICA: SOUTH AFRICA (AL	ADR	Additional Driver 	Rand	532	0	Rental	AutoConfirm	
1	A06	ZA0	SOUTH AFRICA: SOUTH AFRICA (AL	RSN	Roadside Assistance Plus	Rand	50	0	Day	AutoConfirm	
1	A08	AU0	AUSTRALIA	ADR	Additional Driver 	Australian Dollar	8	87	Day	AutoConfirm	
1	A08	AU0	AUSTRALIA	NAV	GPS Satellite Navigation System	Australian Dollar	9.95	55.95	Day	AutoConfirm	
1	A08	AU0	AUSTRALIA	CSS	Child (1-4 years) seat(s).	Australian Dollar	6	70	Day	AutoConfirm	
1	A08	AU0	AUSTRALIA	CSS	Infant Seat.	Australian Dollar	6	70	Day	AutoConfirm	
1	A08	AU0	AUSTRALIA	CSS	Baby seat (under 1 year)	Australian Dollar	6	70	Day	AutoConfirm	
1	A08	AU0	AUSTRALIA	CBS	Child (5-12 years) booster seat(s)	Australian Dollar	5	50	Day	AutoConfirm	
1	A08	AU0	AUSTRALIA	CBS	Child Booster Seat	Australian Dollar	5	50	Day	AutoConfirm	
1	A0B	ES0	SPAIN: SPAIN MAINLAND	RSN	Roadside Assistance Plus	Euro	9.28	129.92	Day	AutoConfirm	
1	A0B	ES0	SPAIN: SPAIN MAINLAND	WFI	Mobile Wi-Fi	Euro	12.63	126.38	Day	AutoConfirm	
1	A0B	ES0	SPAIN: SPAIN MAINLAND	ADR	Additional Driver 	Euro	12.91	90.37	Day	AutoConfirm	
1	A0B	ES0	SPAIN: SPAIN MAINLAND	CSS	Child Seat	Euro	13.8	96.52	Day	AutoConfirm	
1	A0B	ES0	SPAIN: SPAIN MAINLAND	TCT	Travel Companion Tablet	Euro	17.24	241.34	Day	AutoConfirm	
1	A0B	ES0	SPAIN: SPAIN MAINLAND	CBS	Child Booster Seat	Euro	13.8	96.52	Day	AutoConfirm	
1	A0B	ES0	SPAIN: SPAIN MAINLAND	TPR	Budget Travel Partner	Euro	12.54	62.68	Day	AutoConfirm	
1	A0B	ES0	SPAIN: SPAIN MAINLAND	CBD	Cross Border Daily 	Euro	19.99	19.99	Day	AutoConfirm	
1	A0B	ES0	SPAIN: SPAIN MAINLAND	CIS	Infant Seat	Euro	13.8	96.52	Day	AutoConfirm	
1	A0J	SE0	SWEDEN	CBS	Child Booster Seat	Swedish Krona	125	500	Day	AutoConfirm	
1	A0J	SE0	SWEDEN	ADR	Additional Driver 	Swedish Krona	40	400	Day	AutoConfirm	
1	A0J	SE0	SWEDEN	TEF	Travel Europe Fee	Swedish Krona	300	6000	Day	AutoConfirm	
1	A0J	SE0	SWEDEN	CSS	Child Seat	Swedish Krona	125	500	Day	AutoConfirm	
1	A0J	SE0	SWEDEN	CIS	Infant Seat	Swedish Krona	125	500	Day	AutoConfirm	
1	A0P	IE0	IRELAND REPUBLIC OF	CSS	Child Seat	Euro	45.4	0	Rental	AutoConfirm	
1	A0P	IE0	IRELAND REPUBLIC OF	RSN	Roadside Assistance Plus	Euro	6	0	Day	AutoConfirm	
1	A0P	IE0	IRELAND REPUBLIC OF	NAV	GPS	Euro	17.05	0	Day	AutoConfirm	
1	A0P	IE0	IRELAND REPUBLIC OF	CBF	Cross Border Fee	Euro	34	0	Rental	AutoConfirm	
1	A0P	IE0	IRELAND REPUBLIC OF	CBS	Child Booster Seat	Euro	45.4	0	Rental	AutoConfirm	
1	A0P	IE0	IRELAND REPUBLIC OF	ADR	Additional Driver 	Euro	11.35	0	Day	AutoConfirm	
1	A0P	IE0	IRELAND REPUBLIC OF	CNP	Carbon Offset Donation	Euro	1	0	Rental	AutoConfirm	
1	A11	AU0	AUSTRALIA	NAV	GPS Satellite Navigation System	Australian Dollar	9.95	55.95	Day	AutoConfirm	
1	A11	AU0	AUSTRALIA	CSS	Infant Seat.	Australian Dollar	6	70	Day	AutoConfirm	
1	A11	AU0	AUSTRALIA	CSS	Baby seat (under 1 year)	Australian Dollar	6	70	Day	AutoConfirm	
1	A11	AU0	AUSTRALIA	ADR	Additional Driver 	Australian Dollar	8	87	Day	AutoConfirm	
1	A11	AU0	AUSTRALIA	CSS	Child (1-4 years) seat(s).	Australian Dollar	6	70	Day	AutoConfirm	
1	A11	AU0	AUSTRALIA	CBS	Child Booster Seat	Australian Dollar	5	50	Day	AutoConfirm	
1	A11	AU0	AUSTRALIA	CBS	Child (5-12 years) booster seat(s)	Australian Dollar	5	50	Day	AutoConfirm	
1	A14	AU0	AUSTRALIA	NAV	GPS Satellite Navigation System	Australian Dollar	9.95	55.95	Day	AutoConfirm	
1	A14	AU0	AUSTRALIA	CSS	Baby seat (under 1 year)	Australian Dollar	6	70	Day	AutoConfirm	
1	A14	AU0	AUSTRALIA	CBS	Child Booster Seat	Australian Dollar	5	50	Day	AutoConfirm	
1	A14	AU0	AUSTRALIA	ADR	Additional Driver 	Australian Dollar	8	87	Day	AutoConfirm	
1	A14	AU0	AUSTRALIA	CSS	Infant Seat.	Australian Dollar	6	70	Day	AutoConfirm	
1	A14	AU0	AUSTRALIA	CSS	Child (1-4 years) seat(s).	Australian Dollar	6	70	Day	AutoConfirm	
